NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,TP_SES_INCOME,TP_SES_POINTS
160000407940.0,2016.0,Itaúna,MG,26.0,F,4.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,472.3,587.8,584.3,443.4,120.0,120.0,100.0,120.0,120.0,580.0,B,B,B,B,5.0,C,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,E,DE
160000407941.0,2016.0,Aracaju,SE,18.0,F,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,627.5,590.7,572.4,518.0,120.0,120.0,100.0,120.0,120.0,580.0,D,D,D,D,4.0,I,A,B,D,A,B,B,A,A,A,B,A,A,B,B,A,D,B,B,B,D,C2
160000407942.0,2016.0,Maracanaú,CE,19.0,F,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,438.5,526.2,459.1,487.1,120.0,120.0,120.0,120.0,60.0,540.0,E,E,A,B,2.0,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,E,DE
160000407943.0,2016.0,Salvador,BA,24.0,F,1.0,7.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,452.2,648.1,529.7,432.0,140.0,160.0,180.0,160.0,180.0,820.0,B,E,C,D,3.0,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,B,B,B,E,C1
160000407944.0,2016.0,Brasília,DF,35.0,F,4.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,489.3,552.7,510.3,500.9,140.0,120.0,120.0,120.0,80.0,580.0,D,D,C,B,4.0,C,A,B,B,A,A,B,A,A,A,A,A,A,B,B,A,C,A,B,B,E,C2
160000407949.0,2016.0,São Jorge d'Oeste,PR,17.0,F,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,381.1,515.2,498.8,407.5,100.0,100.0,80.0,120.0,60.0,460.0,B,B,C,B,4.0,C,A,C,C,B,A,B,B,B,A,B,A,A,B,A,A,B,B,B,B,E,C1
160000407950.0,2016.0,Rosário,MA,15.0,F,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,430.6,418.3,431.8,447.2,120.0,100.0,80.0,120.0,40.0,460.0,E,F,E,A,4.0,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,B,A,B,E,C1
160000407952.0,2016.0,Rio de Janeiro,RJ,18.0,F,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,637.4,652.1,610.5,761.6,160.0,200.0,200.0,180.0,180.0,920.0,G,G,E,D,3.0,M,B,D,D,B,B,B,B,B,A,B,B,B,E,A,B,D,B,D,B,D,A
160000407953.0,2016.0,Salvador,BA,39.0,F,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,654.4,621.8,501.9,140.0,120.0,120.0,140.0,140.0,660.0,C,C,C,B,4.0,E,A,C,C,C,A,B,B,B,A,B,A,A,D,A,B,D,B,D,B,E,B2
160000407954.0,2016.0,Cuiabá,MT,46.0,M,1.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,574.0,675.9,634.8,668.0,100.0,80.0,80.0,60.0,60.0,380.0,D,D,C,B,1.0,H,A,B,B,A,A,B,A,B,A,B,A,A,B,B,B,C,A,B,B,C,C2
